ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesAmount,OrderDate
379,20210105,20210117,20210112,12980,1,SO46740,2181.5625,2021-01-05
370,20210105,20210117,20210112,28766,6,SO46741,2443.35,2021-01-05
358,20210105,20210117,20210112,20206,6,SO46742,2049.0982,2021-01-05
373,20210105,20210117,20210112,21183,9,SO46743,2181.5625,2021-01-05
370,20210105,20210117,20210112,21199,9,SO46744,2443.35,2021-01-05
369,20210106,20210118,20210113,13056,1,SO46745,2443.35,2021-01-06
368,20210106,20210118,20210113,13057,4,SO46746,2443.35,2021-01-06
360,20210106,20210118,20210113,26127,1,SO46747,2049.0982,2021-01-06
360,20210106,20210118,20210113,26252,4,SO46748,2049.0982,2021-01-06
354,20210106,20210118,20210113,12350,9,SO46749,2071.4196,2021-01-06
377,20210107,20210119,20210114,16054,10,SO46750,2181.5625,2021-01-07
377,20210107,20210119,20210114,12934,4,SO46751,2181.5625,2021-01-07
343,20210107,20210119,20210114,19931,8,SO46752,782.99,2021-01-07
379,20210107,20210119,20210114,21215,9,SO46753,2181.5625,2021-01-07
321,20210107,20210119,20210114,25958,9,SO46754,782.99,2021-01-07
343,20210107,20210119,20210114,26023,9,SO46755,782.99,2021-01-07
383,20210107,20210119,20210114,13993,4,SO46756,1000.4375,2021-01-07
354,20210108,20210120,20210115,26174,1,SO46757,2071.4196,2021-01-08
387,20210108,20210120,20210115,18130,8,SO46758,1000.4375,2021-01-08
373,20210108,20210120,20210115,16033,10,SO46759,2181.5625,2021-01-08
387,20210108,20210120,20210115,13986,4,SO46760,1000.4375,2021-01-08
325,20210108,20210120,20210115,19924,8,SO46761,782.99,2021-01-08
368,20210108,20210120,20210115,13063,1,SO46762,2443.35,2021-01-08
375,20210108,20210120,20210115,13202,4,SO46763,2181.5625,2021-01-08
360,20210108,20210120,20210115,26238,4,SO46764,2049.0982,2021-01-08
333,20210108,20210120,20210115,15191,4,SO46765,782.99,2021-01-08
369,20210108,20210120,20210115,21216,9,SO46766,2443.35,2021-01-08
362,20210108,20210120,20210115,12573,9,SO46767,2049.0982,2021-01-08
339,20210108,20210120,20210115,26020,9,SO46768,782.99,2021-01-08
377,20210109,20210121,20210116,15702,10,SO46769,2181.5625,2021-01-09
370,20210109,20210121,20210116,15357,8,SO46770,2443.35,2021-01-09
377,20210109,20210121,20210116,13068,4,SO46771,2181.5625,2021-01-09
375,20210109,20210121,20210116,13161,1,SO46772,2181.5625,2021-01-09
371,20210109,20210121,20210116,13173,1,SO46773,2181.5625,2021-01-09
375,20210109,20210121,20210116,13225,4,SO46774,2181.5625,2021-01-09
352,20210109,20210121,20210116,26249,1,SO46775,2071.4196,2021-01-09
360,20210109,20210121,20210116,12356,9,SO46776,2049.0982,2021-01-09
356,20210110,20210122,20210117,11568,10,SO46777,2071.4196,2021-01-10
352,20210110,20210122,20210117,11610,10,SO46778,2071.4196,2021-01-10
377,20210110,20210122,20210117,15929,10,SO46779,2181.5625,2021-01-10
379,20210110,20210122,20210117,12942,4,SO46780,2181.5625,2021-01-10
379,20210110,20210122,20210117,12949,1,SO46781,2181.5625,2021-01-10
371,20210110,20210122,20210117,12975,4,SO46782,2181.5625,2021-01-10
337,20210110,20210122,20210117,19069,7,SO46783,782.99,2021-01-10
375,20210110,20210122,20210117,13178,1,SO46784,2181.5625,2021-01-10
373,20210110,20210122,20210117,13190,4,SO46785,2181.5625,2021-01-10
354,20210110,20210122,20210117,26201,4,SO46786,2071.4196,2021-01-10
333,20210110,20210122,20210117,15195,4,SO46787,782.99,2021-01-10
358,20210110,20210122,20210117,12342,9,SO46788,2049.0982,2021-01-10
358,20210111,20210123,20210118,28506,7,SO46789,2049.0982,2021-01-11
379,20210111,20210123,20210118,12930,1,SO46790,2181.5625,2021-01-11
369,20210111,20210123,20210118,13016,1,SO46791,2443.35,2021-01-11
373,20210111,20210123,20210118,13083,1,SO46792,2181.5625,2021-01-11
375,20210111,20210123,20210118,13214,1,SO46793,2181.5625,2021-01-11
373,20210111,20210123,20210118,24977,6,SO46794,2181.5625,2021-01-11
362,20210111,20210123,20210118,26234,4,SO46795,2049.0982,2021-01-11
360,20210111,20210123,20210118,26247,4,SO46796,2049.0982,2021-01-11
371,20210111,20210123,20210118,21197,9,SO46797,2181.5625,2021-01-11
368,20210111,20210123,20210118,21201,9,SO46798,2443.35,2021-01-11
371,20210112,20210124,20210119,13662,7,SO46799,2181.5625,2021-01-12
370,20210112,20210124,20210119,13019,4,SO46800,2443.35,2021-01-12
368,20210112,20210124,20210119,25094,6,SO46801,2443.35,2021-01-12
337,20210112,20210124,20210119,15188,1,SO46802,782.99,2021-01-12
379,20210113,20210125,20210120,13595,7,SO46803,2181.5625,2021-01-13
323,20210113,20210125,20210120,19052,7,SO46804,782.99,2021-01-13
373,20210113,20210125,20210120,13055,1,SO46805,2181.5625,2021-01-13
370,20210113,20210125,20210120,21195,9,SO46806,2443.35,2021-01-13
354,20210113,20210125,20210120,12339,9,SO46807,2071.4196,2021-01-13
360,20210113,20210125,20210120,12347,9,SO46808,2049.0982,2021-01-13
371,20210114,20210126,20210121,13766,7,SO46809,2181.5625,2021-01-14
370,20210114,20210126,20210121,15622,8,SO46810,2443.35,2021-01-14
369,20210114,20210126,20210121,12941,1,SO46811,2443.35,2021-01-14
371,20210114,20210126,20210121,13069,1,SO46812,2181.5625,2021-01-14
379,20210114,20210126,20210121,13152,4,SO46813,2181.5625,2021-01-14
371,20210114,20210126,20210121,13165,4,SO46814,2181.5625,2021-01-14
375,20210114,20210126,20210121,25093,6,SO46815,2181.5625,2021-01-14
370,20210114,20210126,20210121,13230,1,SO46816,2443.35,2021-01-14
356,20210114,20210126,20210121,26121,4,SO46817,2071.4196,2021-01-14
369,20210114,20210126,20210121,21211,9,SO46818,2443.35,2021-01-14
368,20210114,20210126,20210121,21001,9,SO46819,2443.35,2021-01-14
352,20210115,20210127,20210122,28510,7,SO46820,2071.4196,2021-01-15
377,20210115,20210127,20210122,24824,6,SO46821,2181.5625,2021-01-15
325,20210115,20210127,20210122,15155,4,SO46822,782.99,2021-01-15
323,20210115,20210127,20210122,15193,4,SO46823,782.99,2021-01-15
385,20210115,20210127,20210122,24608,9,SO46824,1000.4375,2021-01-15
354,20210115,20210127,20210122,12574,9,SO46825,2071.4196,2021-01-15
360,20210115,20210127,20210122,12575,9,SO46826,2049.0982,2021-01-15
373,20210116,20210128,20210123,13799,7,SO46827,2181.5625,2021-01-16
385,20210116,20210128,20210123,13990,1,SO46828,1000.4375,2021-01-16
369,20210116,20210128,20210123,24786,6,SO46829,2443.35,2021-01-16
337,20210116,20210128,20210123,19910,8,SO46830,782.99,2021-01-16
369,20210116,20210128,20210123,13066,1,SO46831,2443.35,2021-01-16
352,20210116,20210128,20210123,20188,6,SO46832,2071.4196,2021-01-16
354,20210116,20210128,20210123,12360,9,SO46833,2071.4196,2021-01-16
379,20210116,20210128,20210123,12923,4,SO46834,2181.5625,2021-01-16
371,20210117,20210129,20210124,13768,7,SO46835,2181.5625,2021-01-17
377,20210117,20210129,20210124,13769,7,SO46836,2181.5625,2021-01-17
381,20210117,20210129,20210124,14003,1,SO46837,1000.4375,2021-01-17
375,20210117,20210129,20210124,12922,4,SO46838,2181.5625,2021-01-17
375,20210117,20210129,20210124,24817,6,SO46839,2181.5625,2021-01-17
369,20210117,20210129,20210124,13058,4,SO46840,2443.35,2021-01-17
371,20210117,20210129,20210124,13174,1,SO46841,2181.5625,2021-01-17
321,20210117,20210129,20210124,15166,4,SO46842,782.99,2021-01-17
375,20210117,20210129,20210124,21168,9,SO46843,2181.5625,2021-01-17
358,20210117,20210129,20210124,12343,9,SO46844,2049.0982,2021-01-17
358,20210118,20210130,20210125,11603,10,SO46845,2049.0982,2021-01-18
373,20210118,20210130,20210125,13575,7,SO46846,2181.5625,2021-01-18
371,20210118,20210130,20210125,13793,7,SO46847,2181.5625,2021-01-18
371,20210118,20210130,20210125,16201,10,SO46848,2181.5625,2021-01-18
370,20210118,20210130,20210125,24960,6,SO46849,2443.35,2021-01-18
370,20210118,20210130,20210125,13221,4,SO46850,2443.35,2021-01-18
360,20210118,20210130,20210125,20209,6,SO46851,2049.0982,2021-01-18
333,20210118,20210130,20210125,15194,4,SO46852,782.99,2021-01-18
368,20210118,20210130,20210125,21192,9,SO46853,2443.35,2021-01-18
375,20210118,20210130,20210125,20997,9,SO46854,2181.5625,2021-01-18
379,20210119,20210131,20210126,15117,8,SO46855,2181.5625,2021-01-19
370,20210119,20210131,20210126,12935,4,SO46856,2443.35,2021-01-19
371,20210119,20210131,20210126,13064,1,SO46857,2181.5625,2021-01-19
370,20210119,20210131,20210126,13067,1,SO46858,2443.35,2021-01-19
370,20210119,20210131,20210126,13205,4,SO46859,2443.35,2021-01-19
371,20210119,20210131,20210126,21180,9,SO46860,2181.5625,2021-01-19
377,20210119,20210131,20210126,21214,9,SO46861,2181.5625,2021-01-19
362,20210120,20210201,20210127,11550,10,SO46862,2049.0982,2021-01-20
362,20210120,20210201,20210127,11575,10,SO46863,2049.0982,2021-01-20
373,20210120,20210201,20210127,16045,10,SO46864,2181.5625,2021-01-20
375,20210120,20210201,20210127,15456,8,SO46865,2181.5625,2021-01-20
369,20210120,20210201,20210127,12981,4,SO46866,2443.35,2021-01-20
377,20210120,20210201,20210127,13029,1,SO46867,2181.5625,2021-01-20
369,20210120,20210201,20210127,13189,4,SO46868,2443.35,2021-01-20
379,20210121,20210202,20210128,13577,7,SO46869,2181.5625,2021-01-21
368,20210121,20210202,20210128,13605,7,SO46870,2443.35,2021-01-21
370,20210121,20210202,20210128,13800,7,SO46871,2443.35,2021-01-21
385,20210121,20210202,20210128,19186,10,SO46872,1000.4375,2021-01-21
377,20210121,20210202,20210128,21167,9,SO46873,2181.5625,2021-01-21
381,20210121,20210202,20210128,24606,9,SO46874,1000.4375,2021-01-21
362,20210122,20210203,20210129,11470,8,SO46875,2049.0982,2021-01-22
375,20210122,20210203,20210129,15084,8,SO46876,2181.5625,2021-01-22
370,20210122,20210203,20210129,12926,4,SO46877,2443.35,2021-01-22
369,20210122,20210203,20210129,25061,6,SO46878,2443.35,2021-01-22
379,20210122,20210203,20210129,13224,1,SO46879,2181.5625,2021-01-22
335,20210122,20210203,20210129,15167,1,SO46880,782.99,2021-01-22
354,20210122,20210203,20210129,12572,9,SO46881,2071.4196,2021-01-22
343,20210122,20210203,20210129,25960,9,SO46882,782.99,2021-01-22
352,20210122,20210203,20210129,26241,4,SO46883,2071.4196,2021-01-22
368,20210123,20210204,20210130,13565,7,SO46884,2443.35,2021-01-23
373,20210123,20210204,20210130,15933,10,SO46885,2181.5625,2021-01-23
377,20210123,20210204,20210130,28669,6,SO46886,2181.5625,2021-01-23
362,20210123,20210204,20210130,12340,9,SO46887,2049.0982,2021-01-23
325,20210123,20210204,20210130,26021,9,SO46888,782.99,2021-01-23
383,20210124,20210205,20210131,19173,10,SO46889,1000.4375,2021-01-24
368,20210124,20210205,20210131,12921,4,SO46890,2443.35,2021-01-24
325,20210124,20210205,20210131,20592,10,SO46891,782.99,2021-01-24
370,20210124,20210205,20210131,13086,1,SO46892,2443.35,2021-01-24
369,20210124,20210205,20210131,28659,6,SO46893,2443.35,2021-01-24
356,20210124,20210205,20210131,26120,4,SO46894,2071.4196,2021-01-24
354,20210124,20210205,20210131,26183,4,SO46895,2071.4196,2021-01-24
333,20210124,20210205,20210131,15189,1,SO46896,782.99,2021-01-24
368,20210124,20210205,20210131,21179,9,SO46897,2443.35,2021-01-24
369,20210124,20210205,20210131,21205,9,SO46898,2443.35,2021-01-24
381,20210125,20210206,20210201,13999,4,SO46899,1000.4375,2021-01-25
375,20210125,20210206,20210201,21194,9,SO46900,2181.5625,2021-01-25
375,20210125,20210206,20210201,21203,9,SO46901,2181.5625,2021-01-25
375,20210125,20210206,20210201,21000,9,SO46902,2181.5625,2021-01-25
354,20210125,20210206,20210201,12353,9,SO46903,2071.4196,2021-01-25
387,20210126,20210207,20210202,17080,7,SO46904,1000.4375,2021-01-26
375,20210126,20210207,20210202,16053,10,SO46905,2181.5625,2021-01-26
368,20210126,20210207,20210202,12950,1,SO46906,2443.35,2021-01-26
368,20210126,20210207,20210202,13087,1,SO46907,2443.35,2021-01-26
370,20210126,20210207,20210202,21189,9,SO46908,2443.35,2021-01-26
379,20210126,20210207,20210202,20998,9,SO46909,2181.5625,2021-01-26
331,20210127,20210208,20210203,20710,10,SO46910,782.99,2021-01-27
377,20210127,20210208,20210203,24832,6,SO46911,2181.5625,2021-01-27
377,20210127,20210208,20210203,13177,1,SO46912,2181.5625,2021-01-27
375,20210127,20210208,20210203,13212,4,SO46913,2181.5625,2021-01-27
356,20210127,20210208,20210203,26245,4,SO46914,2071.4196,2021-01-27
362,20210127,20210208,20210203,26276,1,SO46915,2049.0982,2021-01-27
329,20210127,20210208,20210203,15196,4,SO46916,782.99,2021-01-27
371,20210127,20210208,20210203,21202,9,SO46917,2181.5625,2021-01-27
343,20210127,20210208,20210203,26022,9,SO46918,782.99,2021-01-27
362,20210127,20210208,20210203,11481,8,SO46919,2049.0982,2021-01-27
362,20210128,20210209,20210204,11609,10,SO46920,2049.0982,2021-01-28
371,20210128,20210209,20210204,15454,8,SO46921,2181.5625,2021-01-28
368,20210128,20210209,20210204,13088,1,SO46922,2443.35,2021-01-28
369,20210128,20210209,20210204,13176,4,SO46923,2443.35,2021-01-28
375,20210128,20210209,20210204,13203,1,SO46924,2181.5625,2021-01-28
373,20210128,20210209,20210204,21165,9,SO46925,2181.5625,2021-01-28
377,20210128,20210209,20210204,21169,9,SO46926,2181.5625,2021-01-28
362,20210128,20210209,20210204,12348,9,SO46927,2049.0982,2021-01-28
356,20210128,20210209,20210204,12358,9,SO46928,2071.4196,2021-01-28
370,20210129,20210210,20210205,13246,4,SO47068,2443.35,2021-01-29
383,20210129,20210210,20210205,14017,4,SO47069,1000.4375,2021-01-29
387,20210129,20210210,20210205,14025,1,SO47070,1000.4375,2021-01-29
369,20210129,20210210,20210205,15667,8,SO47071,2443.35,2021-01-29
341,20210129,20210210,20210205,20062,8,SO47072,782.99,2021-01-29
369,20210129,20210210,20210205,25287,6,SO47073,2443.35,2021-01-29
362,20210129,20210210,20210205,26293,1,SO47074,2049.0982,2021-01-29
360,20210129,20210210,20210205,12685,9,SO47075,2049.0982,2021-01-29
362,20210129,20210210,20210205,12588,9,SO47076,2049.0982,2021-01-29
369,20210130,20210211,20210206,16329,10,SO47077,2443.35,2021-01-30
375,20210130,20210211,20210206,13248,1,SO47078,2181.5625,2021-01-30
375,20210130,20210211,20210206,13359,4,SO47079,2181.5625,2021-01-30
360,20210130,20210211,20210206,26302,4,SO47080,2049.0982,2021-01-30
341,20210130,20210211,20210206,15203,4,SO47081,782.99,2021-01-30
323,20210130,20210211,20210206,15254,5,SO47082,782.99,2021-01-30
329,20210130,20210211,20210206,15288,4,SO47083,782.99,2021-01-30
370,20210130,20210211,20210206,21561,9,SO47084,2443.35,2021-01-30
379,20210131,20210212,20210207,16311,10,SO47085,2181.5625,2021-01-31
373,20210131,20210212,20210207,13378,4,SO47086,2181.5625,2021-01-31
377,20210131,20210212,20210207,13383,1,SO47087,2181.5625,2021-01-31
369,20210131,20210212,20210207,13274,1,SO47088,2443.35,2021-01-31
341,20210131,20210212,20210207,15284,4,SO47089,782.99,2021-01-31
377,20210131,20210212,20210207,21394,9,SO47090,2181.5625,2021-01-31
354,20210201,20210213,20210208,28532,7,SO47091,2071.4196,2021-02-01
369,20210201,20210213,20210208,28802,6,SO47092,2443.35,2021-02-01
369,20210201,20210213,20210208,13380,4,SO47093,2443.35,2021-02-01
377,20210201,20210213,20210208,15664,8,SO47094,2181.5625,2021-02-01
370,20210201,20210213,20210208,25095,6,SO47095,2443.35,2021-02-01
354,20210201,20210213,20210208,26283,4,SO47096,2071.4196,2021-02-01
370,20210201,20210213,20210208,21257,9,SO47097,2443.35,2021-02-01
360,20210201,20210213,20210208,12667,9,SO47098,2049.0982,2021-02-01
325,20210201,20210213,20210208,26134,9,SO47099,782.99,2021-02-01
360,20210202,20210214,20210209,11612,10,SO47100,2049.0982,2021-02-02
371,20210202,20210214,20210209,16260,10,SO47101,2181.5625,2021-02-02
370,20210202,20210214,20210209,13424,1,SO47102,2443.35,2021-02-02
368,20210202,20210214,20210209,13369,1,SO47103,2443.35,2021-02-02
379,20210202,20210214,20210209,13279,4,SO47104,2181.5625,2021-02-02
371,20210202,20210214,20210209,13319,1,SO47105,2181.5625,2021-02-02
369,20210202,20210214,20210209,25361,6,SO47106,2443.35,2021-02-02
352,20210203,20210215,20210210,11616,10,SO47107,2071.4196,2021-02-03
369,20210203,20210215,20210210,13839,7,SO47108,2443.35,2021-02-03
375,20210203,20210215,20210210,28819,6,SO47109,2181.5625,2021-02-03
370,20210203,20210215,20210210,28850,6,SO47110,2443.35,2021-02-03
369,20210203,20210215,20210210,25100,6,SO47111,2443.35,2021-02-03
356,20210203,20210215,20210210,20318,6,SO47112,2071.4196,2021-02-03
343,20210203,20210215,20210210,15255,4,SO47113,782.99,2021-02-03
373,20210203,20210215,20210210,21387,9,SO47114,2181.5625,2021-02-03
370,20210203,20210215,20210210,21393,9,SO47115,2443.35,2021-02-03
387,20210203,20210215,20210210,24611,9,SO47116,1000.4375,2021-02-03
354,20210203,20210215,20210210,12586,9,SO47117,2071.4196,2021-02-03
362,20210203,20210215,20210210,28541,7,SO47118,2049.0982,2021-02-03
368,20210204,20210216,20210211,16275,10,SO47119,2443.35,2021-02-04
381,20210204,20210216,20210211,14006,4,SO47120,1000.4375,2021-02-04
375,20210204,20210216,20210211,28832,6,SO47121,2181.5625,2021-02-04
371,20210204,20210216,20210211,13362,4,SO47122,2181.5625,2021-02-04
371,20210204,20210216,20210211,25408,6,SO47123,2181.5625,2021-02-04
371,20210204,20210216,20210211,13384,1,SO47124,2181.5625,2021-02-04
375,20210204,20210216,20210211,13325,4,SO47125,2181.5625,2021-02-04
371,20210204,20210216,20210211,13326,4,SO47126,2181.5625,2021-02-04
371,20210204,20210216,20210211,21258,9,SO47127,2181.5625,2021-02-04
368,20210204,20210216,20210211,21556,9,SO47128,2443.35,2021-02-04
352,20210204,20210216,20210211,12677,9,SO47129,2071.4196,2021-02-04
375,20210205,20210217,20210212,16406,10,SO47130,2181.5625,2021-02-05
371,20210205,20210217,20210212,13243,1,SO47131,2181.5625,2021-02-05
375,20210205,20210217,20210212,13283,1,SO47132,2181.5625,2021-02-05
379,20210205,20210217,20210212,13357,4,SO47133,2181.5625,2021-02-05
354,20210205,20210217,20210212,26296,1,SO47134,2071.4196,2021-02-05
343,20210205,20210217,20210212,27027,6,SO47135,782.99,2021-02-05
379,20210205,20210217,20210212,21389,9,SO47136,2181.5625,2021-02-05
371,20210205,20210217,20210212,13348,4,SO47137,2181.5625,2021-02-05
379,20210206,20210218,20210213,16308,10,SO47138,2181.5625,2021-02-06
375,20210206,20210218,20210213,13238,4,SO47139,2181.5625,2021-02-06
356,20210206,20210218,20210213,26290,4,SO47140,2071.4196,2021-02-06
371,20210206,20210218,20210213,21225,9,SO47141,2181.5625,2021-02-06
369,20210206,20210218,20210213,21230,9,SO47142,2443.35,2021-02-06
362,20210206,20210218,20210213,12684,9,SO47143,2049.0982,2021-02-06
343,20210206,20210218,20210213,26033,9,SO47144,782.99,2021-02-06
339,20210206,20210218,20210213,26131,9,SO47145,782.99,2021-02-06
389,20210207,20210219,20210214,18133,8,SO47146,1000.4375,2021-02-07
375,20210207,20210219,20210214,13324,4,SO47147,2181.5625,2021-02-07
377,20210207,20210219,20210214,21259,9,SO47148,2181.5625,2021-02-07
360,20210207,20210219,20210214,12669,9,SO47149,2049.0982,2021-02-07
370,20210208,20210220,20210215,15625,8,SO47150,2443.35,2021-02-08
370,20210208,20210220,20210215,25363,6,SO47151,2443.35,2021-02-08
360,20210208,20210220,20210215,28547,7,SO47152,2049.0982,2021-02-08
321,20210208,20210220,20210215,26024,9,SO47153,782.99,2021-02-08
335,20210208,20210220,20210215,26133,9,SO47154,782.99,2021-02-08
370,20210209,20210221,20210216,13801,7,SO47155,2443.35,2021-02-09
373,20210209,20210221,20210216,28837,6,SO47156,2181.5625,2021-02-09
369,20210209,20210221,20210216,25864,6,SO47157,2443.35,2021-02-09
360,20210209,20210221,20210216,26280,4,SO47158,2049.0982,2021-02-09
362,20210209,20210221,20210216,26300,4,SO47159,2049.0982,2021-02-09
369,20210209,20210221,20210216,21403,9,SO47160,2443.35,2021-02-09
375,20210209,20210221,20210216,21408,9,SO47161,2181.5625,2021-02-09
371,20210209,20210221,20210216,21418,9,SO47162,2181.5625,2021-02-09
362,20210209,20210221,20210216,12671,9,SO47163,2049.0982,2021-02-09
360,20210210,20210222,20210217,12123,10,SO47164,2049.0982,2021-02-10
370,20210210,20210222,20210217,15649,8,SO47165,2443.35,2021-02-10
368,20210210,20210222,20210217,15656,8,SO47166,2443.35,2021-02-10
375,20210210,20210222,20210217,13419,1,SO47167,2181.5625,2021-02-10
377,20210210,20210222,20210217,13286,1,SO47168,2181.5625,2021-02-10
352,20210210,20210222,20210217,26281,4,SO47169,2071.4196,2021-02-10
377,20210210,20210222,20210217,21228,9,SO47170,2181.5625,2021-02-10
373,20210210,20210222,20210217,21552,9,SO47171,2181.5625,2021-02-10
352,20210210,20210222,20210217,12668,9,SO47172,2071.4196,2021-02-10
356,20210210,20210222,20210217,12675,9,SO47173,2071.4196,2021-02-10
354,20210210,20210222,20210217,12584,9,SO47174,2071.4196,2021-02-10
368,20210210,20210222,20210217,13812,7,SO47175,2443.35,2021-02-10
358,20210211,20210223,20210218,11492,8,SO47176,2049.0982,2021-02-11
381,20210211,20210223,20210218,14022,1,SO47177,1000.4375,2021-02-11
383,20210211,20210223,20210218,14026,1,SO47178,1000.4375,2021-02-11
377,20210211,20210223,20210218,28848,6,SO47179,2181.5625,2021-02-11
370,20210211,20210223,20210218,13287,4,SO47180,2443.35,2021-02-11
368,20210211,20210223,20210218,13329,4,SO47181,2443.35,2021-02-11
354,20210211,20210223,20210218,26298,1,SO47182,2071.4196,2021-02-11
335,20210211,20210223,20210218,15200,4,SO47183,782.99,2021-02-11
379,20210211,20210223,20210218,21380,9,SO47184,2181.5625,2021-02-11
356,20210211,20210223,20210218,12133,10,SO47185,2071.4196,2021-02-11
371,20210212,20210224,20210219,13806,7,SO47186,2181.5625,2021-02-12
385,20210212,20210224,20210219,18134,8,SO47187,1000.4375,2021-02-12
389,20210212,20210224,20210219,19253,10,SO47188,1000.4375,2021-02-12
373,20210212,20210224,20210219,28818,6,SO47189,2181.5625,2021-02-12
369,20210212,20210224,20210219,25892,6,SO47190,2443.35,2021-02-12
379,20210212,20210224,20210219,13382,4,SO47191,2181.5625,2021-02-12
371,20210212,20210224,20210219,16328,10,SO47192,2181.5625,2021-02-12
329,20210212,20210224,20210219,20162,8,SO47193,782.99,2021-02-12
377,20210212,20210224,20210219,13269,1,SO47194,2181.5625,2021-02-12
371,20210212,20210224,20210219,13355,1,SO47195,2181.5625,2021-02-12
362,20210212,20210224,20210219,26286,4,SO47196,2049.0982,2021-02-12
377,20210212,20210224,20210219,21218,9,SO47197,2181.5625,2021-02-12
370,20210213,20210225,20210220,14169,7,SO47198,2443.35,2021-02-13
323,20210213,20210225,20210220,20051,8,SO47199,782.99,2021-02-13
373,20210213,20210225,20210220,13247,4,SO47200,2181.5625,2021-02-13
356,20210213,20210225,20210220,26277,1,SO47201,2071.4196,2021-02-13
356,20210213,20210225,20210220,26285,1,SO47202,2071.4196,2021-02-13
370,20210214,20210226,20210221,25883,6,SO47203,2443.35,2021-02-14
377,20210214,20210226,20210221,25371,6,SO47204,2181.5625,2021-02-14
352,20210214,20210226,20210221,26301,4,SO47205,2071.4196,2021-02-14
333,20210214,20210226,20210221,15256,4,SO47206,782.99,2021-02-14
337,20210214,20210226,20210221,27043,6,SO47207,782.99,2021-02-14
369,20210214,20210226,20210221,21359,9,SO47208,2443.35,2021-02-14
370,20210214,20210226,20210221,21379,9,SO47209,2443.35,2021-02-14
389,20210214,20210226,20210221,24609,9,SO47210,1000.4375,2021-02-14
362,20210214,20210226,20210221,12578,9,SO47211,2049.0982,2021-02-14
360,20210214,20210226,20210221,12580,9,SO47212,2049.0982,2021-02-14
377,20210215,20210227,20210222,16287,10,SO47213,2181.5625,2021-02-15
389,20210215,20210227,20210222,19195,10,SO47214,1000.4375,2021-02-15
368,20210215,20210227,20210222,28836,6,SO47215,2443.35,2021-02-15
360,20210215,20210227,20210222,26299,1,SO47216,2049.0982,2021-02-15
375,20210215,20210227,20210222,21222,9,SO47217,2181.5625,2021-02-15
